Downloaded from wid.world on 23-09-2025 at 20:50:28
Percentile ;Year ;"aptinc_999_j_US
Pre-tax national income 
P26-30 | average income or wealth | all ages | equal split | Constant local | ppp | constant (2024)
USA"
p26p30;1980;22872.555
p26p30;1981;22530.39
p26p30;1982;21163.701
p26p30;1983;20350.84
p26p30;1984;21299.7582
p26p30;1985;21391.0462
p26p30;1986;21302.1135
p26p30;1987;21659.8553
p26p30;1988;21822.693
p26p30;1989;22236.8738
p26p30;1990;22066.3305
p26p30;1991;21466.525
p26p30;1992;20674.5673
p26p30;1993;20850.304
p26p30;1994;21688.6665
p26p30;1995;21683.16
p26p30;1996;21870.387
p26p30;1997;22493.1913
p26p30;1998;23176.01
p26p30;1999;23879.635
p26p30;2000;24473.364
p26p30;2001;24909.819
p26p30;2002;24848.637
p26p30;2003;24713.65
p26p30;2004;24653.6955
p26p30;2005;24651.291
p26p30;2006;25011.281
p26p30;2007;25157.957
p26p30;2008;24525.185
p26p30;2009;22865.5818
p26p30;2010;23238.6473
p26p30;2011;22821.9225
p26p30;2012;22665.776
p26p30;2013;23314.3812
p26p30;2014;23116.604
p26p30;2015;24096.7837
p26p30;2016;23116.2495
p26p30;2017;25260.963
p26p30;2018;25087.175
p26p30;2019;25952.5315
p31p35;1980;26470.485
p31p35;1981;26285.455
p31p35;1982;24670.113
p31p35;1983;23912.237
p31p35;1984;25098.4413
p31p35;1985;25393.242
p31p35;1986;25478.9985
p31p35;1987;25676.2523
p31p35;1988;26157.3375
p31p35;1989;26775.0113
p31p35;1990;26600.508
p31p35;1991;25611.785
p31p35;1992;24749.117
p31p35;1993;25263.872
p31p35;1994;25932.1012
p31p35;1995;25859.176
p31p35;1996;26343.8753
p31p35;1997;26785.785
p31p35;1998;27811.212
p31p35;1999;28471.8725
p31p35;2000;29785.412
p31p35;2001;30005.0093
p31p35;2002;30119.56
p31p35;2003;29466.275
p31p35;2004;29740.966
p31p35;2005;29461.299
p31p35;2006;29931.533
p31p35;2007;30027.239
p31p35;2008;29271.995
p31p35;2009;27778.8473
p31p35;2010;27730.1505
p31p35;2011;27783.21
p31p35;2012;27522.728
p31p35;2013;27977.2575
p31p35;2014;27863.7637
p31p35;2015;28497.066
p31p35;2016;28114.3575
p31p35;2017;29931.057
p31p35;2018;30061.3562
p31p35;2019;31186.6555
p36p40;1980;30068.415
p36p40;1981;29781.55
p36p40;1982;28301.754
p36p40;1983;27855.2122
p36p40;1984;29032.7915
p36p40;1985;29533.4445
p36p40;1986;29934.3425
p36p40;1987;30122.9775
p36p40;1988;30641.4525
p36p40;1989;31313.1488
p36p40;1990;31285.8247
p36p40;1991;30349.225
p36p40;1992;29578.213
p36p40;1993;30134.016
p36p40;1994;30961.3572
p36p40;1995;30677.656
p36p40;1996;31314.4178
p36p40;1997;31765.1937
p36p40;1998;33337.799
p36p40;1999;33982.5575
p36p40;2000;35287.176
p36p40;2001;35477.621
p36p40;2002;35578.7303
p36p40;2003;34979.32
p36p40;2004;35415.2293
p36p40;2005;35072.975
p36p40;2006;35671.827
p36p40;2007;35708.068
p36p40;2008;34809.94
p36p40;2009;33259.028
p36p40;2010;33002.7847
p36p40;2011;33141.4005
p36p40;2012;33189.172
p36p40;2013;33248.335
p36p40;2014;33436.5165
p36p40;2015;33945.0345
p36p40;2016;33737.229
p36p40;2017;35237.982
p36p40;2018;36116.8813
p36p40;2019;36638.868
p41p45;1980;33794.8425
p41p45;1981;33407.13
p41p45;1982;31933.395
p41p45;1983;31670.9948
p41p45;1984;33238.4763
p41p45;1985;33811.6538
p41p45;1986;33971.998
p41p45;1987;34426.26
p41p45;1988;35125.5675
p41p45;1989;35548.7438
p41p45;1990;35668.863
p41p45;1991;34642.53
p41p45;1992;34256.3998
p41p45;1993;34851.968
p41p45;1994;35676.2847
p41p45;1995;35656.752
p41p45;1996;35953.5908
p41p45;1997;36916.3063
p41p45;1998;38507.832
p41p45;1999;39309.553
p41p45;2000;40599.224
p41p45;2001;40761.522
p41p45;2002;40849.6532
p41p45;2003;40492.365
p41p45;2004;41089.4925
p41p45;2005;40684.651
p41p45;2006;41207.1105
p41p45;2007;41186.0103
p41p45;2008;40150.1013
p41p45;2009;38550.237
p41p45;2010;38470.7018
p41p45;2011;38896.494
p41p45;2012;38450.87
p41p45;2013;38519.4125
p41p45;2014;38802.871
p41p45;2015;39393.003
p41p45;2016;39151.846
p41p45;2017;40757.184
p41p45;2018;41307.3313
p41p45;2019;42091.0805
p46p50;1980;37521.27
p46p50;1981;37291.68
p46p50;1982;35690.265
p46p50;1983;35741.1628
p46p50;1984;37308.4938
p46p50;1985;37813.8495
p46p50;1986;38148.883
p46p50;1987;38729.5425
p46p50;1988;39460.212
p46p50;1989;39935.61
p46p50;1990;39900.762
p46p50;1991;39083.88
p46p50;1992;39236.405
p46p50;1993;39569.92
p46p50;1994;40862.705
p46p50;1995;40796.464
p46p50;1996;41089.818
p46p50;1997;42239.1225
p46p50;1998;43677.865
p46p50;1999;44636.5485
p46p50;2000;45721.556
p46p50;2001;46234.1338
p46p50;2002;46308.8235
p46p50;2003;46195.515
p46p50;2004;46568.0915
p46p50;2005;46496.744
p46p50;2006;46742.394
p46p50;2007;46663.9525
p46p50;2008;45688.0463
p46p50;2009;44219.3895
p46p50;2010;44133.9015
p46p50;2011;44651.5875
p46p50;2012;44117.314
p46p50;2013;44398.6913
p46p50;2014;44169.2255
p46p50;2015;45050.5088
p46p50;2016;44774.7175
p46p50;2017;46488.663
p46p50;2018;47146.5875
p46p50;2019;47761.3815
