Downloaded from wid.world on 26-09-2025 at 00:11:50
Percentile ;Year ;"aptinc_999_j_US
Pre-tax national income 
P96-98 | average income or wealth | all ages | equal split | Constant local | ppp | constant (2024)
USA";"aptinc_999_i_US
Pre-tax national income 
Top 1% | average income or wealth | all ages | individual | Constant local | ppp | constant (2024)
USA"
p96p98;1980;159850.89;
p96p98;1981;163410.07;
p96p98;1982;157037.166;
p96p98;1983;160517.2505;
p96p98;1984;176096.0905;
p96p98;1985;177752.694;
p96p98;1986;180162.973;
p96p98;1987;184754.262;
p96p98;1988;191621.181;
p96p98;1989;194837.37;
p96p98;1990;193155.9615;
p96p98;1991;194827.22;
p96p98;1992;199803.847;
p96p98;1993;203937.28;
p96p98;1994;212171.7375;
p96p98;1995;219722.688;
p96p98;1996;228644.955;
p96p98;1997;237981.3975;
p96p98;1998;248161.584;
p96p98;1999;253858.889;
p96p98;2000;261428.648;
p96p98;2001;258911.149;
p96p98;2002;259404.7105;
p96p98;2003;259303.22;
p96p98;2004;268060.0225;
p96p98;2005;276976.294;
p96p98;2006;286604.679;
p96p98;2007;282824.1295;
p96p98;2008;273732.71;
p96p98;2009;261158.9585;
p96p98;2010;273395.85;
p96p98;2011;281801.13;
p96p98;2012;287774.406;
p96p98;2013;291125.665;
p96p98;2014;299277.4625;
p96p98;2015;304248.087;
p96p98;2016;302385.534;
p96p98;2017;306527.988;
p96p98;2018;314454.7625;
p99p100;1980;;589602.5
p99p100;1981;;601169.2000000001
p99p100;1982;;598053.7000000001
p99p100;1983;;631139.3
p99p100;1984;;708920.7000000001
p99p100;1985;;730603.2000000001
p99p100;1986;;718036.2000000001
p99p100;1987;;815938.5
p99p100;1988;;969897.8
p99p100;1989;;948182.0
p99p100;1990;;949938.3
p99p100;1991;;866947.9
p99p100;1992;;948597.7000000001
p99p100;1993;;926745.1000000001
p99p100;1994;;950637.9
p99p100;1995;;1002622.0
p99p100;1996;;1085040.6
p99p100;1997;;1174694.5
p99p100;1998;;1246910.5
p99p100;1999;;1318921.1
p99p100;2000;;1408418.2
p99p100;2001;;1343438.3
p99p100;2002;;1301040.8
p99p100;2003;;1329671.8
p99p100;2004;;1426038.9
p99p100;2005;;1539103.1
p99p100;2006;;1612006.3
p99p100;2007;;1580910.1
p99p100;2008;;1506681.7
p99p100;2009;;1344400.8
p99p100;2010;;1481373.5
p99p100;2011;;1528774.8
p99p100;2012;;1667647.0
p99p100;2013;;1592040.0
p99p100;2014;;1662081.9
p99p100;2015;;1682288.6
p99p100;2016;;1651764.1
p99p100;2017;;1714585.1
p99p100;2018;;1762887.6
