Downloaded from wid.world on 19-10-2025 at 23:02:05
Percentile ;Year ;"anweal_999_i_US
Market-value national wealth
Total population | average income or wealth | all ages | individual | Constant local | ppp | constant (2024)
USA";"anninc_999_i_US
National income
Total population | average income or wealth | all ages | individual | Constant local | ppp | constant (2024)
USA"
pall;1950;50190.2;18070.0
pall;1951;51443.10000000001;19188.9
pall;1952;52799.0;19643.0
pall;1953;52402.60000000001;20137.0
pall;1954;53288.10000000001;19813.0
pall;1955;55875.0;20804.8
pall;1956;57289.0;20810.4
pall;1957;57404.0;20782.0
pall;1958;58486.60000000001;20407.4
pall;1959;60796.0;21506.8
pall;1960;70740.40000000001;21650.3
pall;1961;81495.3;21853.2
pall;1962;83916.6;22803.3
pall;1963;85073.1;23490.5
pall;1964;87868.40000000001;24548.2
pall;1965;92021.90000000001;25780.4
pall;1966;93360.40000000001;27006.1
pall;1967;95849.70000000001;27344.9
pall;1968;101458.1;28260.5
pall;1969;101722.2;28633.7
pall;1970;97932.70000000001;28121.5
pall;1971;99656.20000000001;28769.0
pall;1972;106391.5;29964.2
pall;1973;109802.4;31096.2
pall;1974;104496.5;30386.6
pall;1975;102139.7;30067.1
pall;1976;106968.2;31417.9
pall;1977;110218.7;32591.7
pall;1978;113703.6;33913.7
pall;1979;119739.0;34416.4
pall;1980;127649.9;33950.7
pall;1981;129458.3;34262.2
pall;1982;130144.0;33377.2
pall;1983;131697.7;34792.1
pall;1984;134234.8;36895.5
pall;1985;140248.2;37796.1
pall;1986;149356.3;38698.1
pall;1987;154826.2;39755.9
pall;1988;158747.8;41022.5
pall;1989;164120.4;42128.7
pall;1990;163360.7;42400.9
pall;1991;162821.0;41890.4
pall;1992;163196.3;42888.0
pall;1993;163164.4;43657.5
pall;1994;164961.6;44859.7
pall;1995;171265.5;45774.8
pall;1996;183157.2;47153.60000000001
pall;1997;199831.3;48738.60000000001
pall;1998;222519.0;50359.60000000001
pall;1999;245217.4;52237.0
pall;2000;255343.9;53675.0
pall;2001;253189.9;53580.10000000001
pall;2002;246314.8;53991.7
pall;2003;251193.3;55033.0
pall;2004;273867.3;56530.0
pall;2005;294458.7;57867.8
pall;2006;311763.7;58495.10000000001
pall;2007;316581.5;59008.9
pall;2008;279586.6;58382.0
pall;2009;241339.8;56426.4
pall;2010;239888.1;57704.3
pall;2011;238567.2;58301.60000000001
pall;2012;241539.9;58911.0
pall;2013;260384.6;59615.8
pall;2014;280620.6;60464.10000000001
pall;2015;290200.0;61528.10000000001
pall;2016;296114.9;62057.3
pall;2017;315922.5;63161.60000000001
pall;2018;322462.9;64147.8
pall;2019;335733.7;64470.3
pall;2020;375402.1;62927.9
pall;2021;411279.2;65882.0
pall;2022;402667.6;67038.7
pall;2023;394468.2;68568.2
pall;2024;401258.4;69603.2
