Downloaded from wid.world on 19-10-2025 at 23:23:06
Percentile ;Year ;"anweal_999_i_GB
Market-value national wealth
Total population | average income or wealth | all ages | individual | Constant local | ppp | constant (2024)
United Kingdom";"anninc_999_i_GB
National income
Total population | average income or wealth | all ages | individual | Constant local | ppp | constant (2024)
United Kingdom"
pall;1870;37807.1;5642.1
pall;1871;37561.3;5885.900000000001
pall;1872;38127.9;5907.900000000001
pall;1873;38727.1;5949.1
pall;1874;41783.7;5977.6
pall;1875;39774.10000000001;5908.6
pall;1876;39003.2;5750.0
pall;1877;37550.3;5679.700000000001
pall;1878;40202.7;5543.8
pall;1879;35600.5;5543.3
pall;1880;40148.3;5517.400000000001
pall;1881;36321.0;5680.700000000001
pall;1882;35413.8;5726.700000000001
pall;1883;37479.2;5673.0
pall;1884;37510.0;5558.6
pall;1885;36231.1;5585.700000000001
pall;1886;36105.4;5668.6
pall;1887;36333.8;5890.5
pall;1888;35731.4;6075.900000000001
pall;1889;35969.9;6266.1
pall;1890;37017.9;6345.200000000001
pall;1891;39197.8;6089.1
pall;1892;40525.2;5844.6
pall;1893;39738.60000000001;5872.400000000001
pall;1894;39390.5;6190.900000000001
pall;1895;39033.0;6330.5
pall;1896;40582.3;6472.6
pall;1897;39881.7;6434.5
pall;1898;41382.5;6666.700000000001
pall;1899;43149.2;6846.3
pall;1900;43766.10000000001;6681.5
pall;1901;47110.3;6517.900000000001
pall;1902;45377.5;6513.3
pall;1903;45854.60000000001;6278.3
pall;1904;46819.4;6166.200000000001
pall;1905;46232.7;6311.400000000001
pall;1906;44513.0;6567.6
pall;1907;43472.8;6710.700000000001
pall;1908;45229.4;6337.8
pall;1909;45155.60000000001;6273.900000000001
pall;1910;44410.7;6425.5
pall;1911;44952.4;6605.400000000001
pall;1912;44388.4;6734.400000000001
pall;1913;46225.8;7034.200000000001
pall;1914;38041.1;7128.400000000001
pall;1915;32658.2;7633.0
pall;1916;25219.8;7811.900000000001
pall;1917;22281.5;7326.900000000001
pall;1918;19705.5;6850.3
pall;1919;16811.8;6655.200000000001
pall;1920;15373.3;6136.8
pall;1921;20229.4;6387.900000000001
pall;1922;19000.7;6203.0
pall;1923;20219.8;6264.900000000001
pall;1924;21040.8;6224.6
pall;1925;21804.8;6347.6
pall;1926;23929.7;6513.8
pall;1927;22586.3;6531.900000000001
pall;1928;24584.7;6954.200000000001
pall;1929;23661.4;7081.8
pall;1930;24857.4;7239.8
pall;1931;26686.2;7176.5
pall;1932;28575.1;6995.6
pall;1933;30405.7;7190.200000000001
pall;1934;31977.6;7439.1
pall;1935;34645.8;7762.700000000001
pall;1936;33327.8;8051.0
pall;1937;31000.4;8312.1
pall;1938;31420.7;8613.4
pall;1939;27902.2;8433.2
pall;1940;23280.8;7915.6
pall;1941;22906.4;8439.4
pall;1942;24273.4;9063.6
pall;1943;25630.5;9621.1
pall;1944;26843.8;9944.5
pall;1945;28105.1;9955.0
pall;1946;27723.4;9525.1
pall;1947;20188.7;8632.4
pall;1948;19440.2;8871.300000000001
pall;1949;22971.8;9436.5
pall;1950;26483.0;9752.2
pall;1951;25175.7;9278.9
pall;1952;26405.2;9543.800000000001
pall;1953;27746.0;10290.6
pall;1954;28438.6;10636.5
pall;1955;29527.3;10701.5
pall;1956;30542.4;10744.8
pall;1957;32484.7;11016.0
pall;1958;33666.2;11132.5
pall;1959;35326.5;11575.2
pall;1960;36736.6;11872.8
pall;1961;38530.7;12113.7
pall;1962;40050.3;12153.3
pall;1963;43159.5;12674.1
pall;1964;44212.2;13258.8
pall;1965;44603.7;13423.7
pall;1966;45836.7;13522.5
pall;1967;48313.7;13819.2
pall;1968;50110.3;14483.8
pall;1969;52074.60000000001;14752.3
pall;1970;54426.7;15314.6
pall;1971;57469.10000000001;15774.7
pall;1972;62427.0;16376.6
pall;1973;67665.1;17306.0
pall;1974;69892.0;16792.3
pall;1975;62699.0;16369.2
pall;1976;59456.8;16938.9
pall;1977;60135.60000000001;17141.9
pall;1978;64040.0;17899.5
pall;1979;70669.90000000001;18389.1
pall;1980;72018.7;17970.7
pall;1981;71556.2;18279.4
pall;1982;71561.8;18736.4
pall;1983;75563.2;19506.3
pall;1984;79738.1;20121.9
pall;1985;83516.0;20797.0
pall;1986;89967.1;21488.6
pall;1987;95393.3;22260.4
pall;1988;103798.6;23422.0
pall;1989;112483.3;23896.4
pall;1990;110303.8;23863.6
pall;1991;107004.9;23688.1
pall;1992;105662.9;23833.1
pall;1993;108876.5;24429.2
pall;1994;109481.5;25696.4
pall;1995;94578.70000000001;25885.2
pall;1996;94652.8;26269.3
pall;1997;101444.1;27640.3
pall;1998;111315.3;28701.1
pall;1999;122303.3;29345.3
pall;2000;131173.0;30594.1
pall;2001;134698.3;31219.7
pall;2002;138068.6;31914.0
pall;2003;145224.9;32373.5
pall;2004;154153.6;32896.5
pall;2005;162001.0;33622.8
pall;2006;167990.6;33661.6
pall;2007;173036.1;34372.4
pall;2008;159114.2;33537.8
pall;2009;148995.9;31831.6
pall;2010;152338.4;32762.5
